job_title,job_category,employee_residence,experience_level,employment_type,company_location,company_size,salary_in_usd
Machine Learning Engineer,Machine Learning and AI,United States,Entry-level,Full-time,United States,M,140250
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,184000
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,174500
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,63600
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,226600
Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,United States,M,90000
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,113900
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,70000
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,120000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,167500
Machine Learning Engineer,Machine Learning and AI,United States,Mid-level,Full-time,United States,M,100000
Business Intelligence Engineer,BI and Visualization,United States,Senior,Full-time,United States,L,202800
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,140000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,187500
Analytics Engineer,Leadership and Management,United States,Senior,Full-time,United States,M,127876
Data Manager,Leadership and Management,United States,Mid-level,Full-time,United States,M,115500
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,212800
ML Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,130000
Deep Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,283780
Data Scientist,Data Science and Research,Singapore,Mid-level,Full-time,Other,M,119059
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,105000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,166500
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,90000
Machine Learning Engineer,Machine Learning and AI,United Kingdom,Senior,Full-time,United Kingdom,M,258800
Data Engineer,Data Engineering,United States,Entry-level,Full-time,United States,M,61800
Data Analyst,Data Analysis,Singapore,Mid-level,Full-time,Other,M,65257
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,93000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,132000
Data Quality Analyst,Data Quality and Operations,United States,Senior,Full-time,United States,M,82000
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,120000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,142200
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,150000
BI Developer,BI and Visualization,United States,Senior,Full-time,United States,M,106500
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,120000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,38000
Data Engineer,Data Engineering,United States,Executive,Full-time,United States,M,220000
Machine Learning Engineer,Machine Learning and AI,Canada,Senior,Full-time,Canada,M,110000
Research Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,L,270000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,171250
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,95000
BI Analyst,BI and Visualization,United States,Senior,Full-time,United States,M,118800
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,156560
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,231250
Analytics Engineer,Leadership and Management,United States,Senior,Full-time,United States,M,130000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,166000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,106800
Decision Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,204500
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,142200
BI Developer,BI and Visualization,United States,Mid-level,Full-time,United States,M,81500
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,169000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,199000
Research Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,182200
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,180000
Data Scientist,Data Science and Research,United Kingdom,Mid-level,Full-time,United Kingdom,M,67672
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,156453
Data Analyst,Data Analysis,United States,Entry-level,Full-time,United States,M,61200
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,142200
Data Scientist,Data Science and Research,France,Entry-level,Full-time,Other,L,36643
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,106020
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,160000
Applied Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,192000
BI Data Analyst,Data Analysis,France,Mid-level,Full-time,Other,M,105066
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,150000
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,82200
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,172200
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,130410
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,170550
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,161500
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,184950
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,215000
Data Analyst,Data Analysis,United States,Mid-level,Full-time,United States,M,80000
Data Engineer,Data Engineering,United Kingdom,Mid-level,Full-time,United Kingdom,L,112872
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,119300
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,160000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,237000
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,198200
Research Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,185000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,129300
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,269100
Data Analyst,Data Analysis,United States,Senior,Full-time,United States,M,182000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,155000
Data Visualization Specialist,BI and Visualization,United States,Senior,Full-time,United States,M,83900
Data Scientist,Data Science and Research,United States,Mid-level,Full-time,United States,M,131100
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,159300
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,123400
Business Intelligence Analyst,BI and Visualization,United States,Senior,Full-time,United States,M,110200
Machine Learning Engineer,Machine Learning and AI,United States,Senior,Full-time,United States,M,247500
Data Architect,Data Architecture and Modeling,United States,Senior,Full-time,United States,M,134000
Data Engineer,Data Engineering,United States,Senior,Full-time,United States,M,165400
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,L,160000
Data Scientist,Data Science and Research,United States,Senior,Full-time,United States,M,155000
Data Engineer,Data Engineering,United States,Mid-level,Full-time,United States,M,95000
